Data totals as of 2019-10-23: 

+-------------+---------+
| file format | total   |
+-------------+---------+
| Removed     |      21 |  (versions removed for legal reasons)
| docx        |     937 |  (for a brief period arXiv accepted docx)
| html        |    1580 |  (typically conference indexes, though some full text)
| ps          |    5746 |
| withdrawn   |   10189 |  (where the top-level version is withdrawn)
| pdf         |  164859 |
| pdftex      |  678193 |  (these should be counted together, as they...)
| tex         | 1629254 |  (...are both tex formats)
+-------------+---------+

File formats across subject areas 
(single-word categories contain a period in their name only for ease of providing data)
(NULL values in format column represent removed top-level versions)

+--------------------+-----------+------------+
| category           | format    | paper count|
| cond-mat.str-el    | pdf       |       5547 |
| cond-mat.str-el    | pdftex    |      26537 |
| cond-mat.str-el    | ps        |        146 |
| cond-mat.str-el    | tex       |      52686 |
| cond-mat.str-el    | withdrawn |        145 |
| cond-mat.supr-con  | NULL      |          1 |
| cond-mat.supr-con  | docx      |         40 |
| cond-mat.supr-con  | html      |         28 |
| cond-mat.supr-con  | pdf       |       7144 |
| cond-mat.supr-con  | pdftex    |      11632 |
| cond-mat.supr-con  | ps        |        164 |
| cond-mat.supr-con  | tex       |      33079 |
| cond-mat.supr-con  | withdrawn |        111 |
| cs.AI              | docx      |         10 |
| cs.AI              | html      |        100 |
| cs.AI              | pdf       |       5216 |
| cs.AI              | pdftex    |      18440 |
| cs.AI              | ps        |        338 |
| cs.AI              | tex       |       6501 |
| cs.AI              | withdrawn |        176 |
| cs.AR              | docx      |          3 |
| cs.AR              | html      |          8 |
| cs.AR              | pdf       |        673 |
| cs.AR              | pdftex    |        787 |
| cs.AR              | ps        |          4 |
| cs.AR              | tex       |        293 |
| cs.AR              | withdrawn |         14 |
| cs.CC              | docx      |          3 |
| cs.CC              | html      |         26 |
| cs.CC              | pdf       |        477 |
| cs.CC              | pdftex    |       3277 |
| cs.CC              | ps        |         24 |
| cs.CC              | tex       |       9003 |
| cs.CC              | withdrawn |        119 |
| cs.CE              | docx      |          1 |
| cs.CE              | html      |         23 |
| cs.CE              | pdf       |       1211 |
| cs.CE              | pdftex    |       2227 |
| cs.CE              | ps        |          4 |
| cs.CE              | tex       |       1123 |
| cs.CE              | withdrawn |         32 |
| cs.CG              | html      |          7 |
| cs.CG              | pdf       |        252 |
| cs.CG              | pdftex    |       4264 |
| cs.CG              | ps        |          1 |
| cs.CG              | tex       |       2281 |
| cs.CG              | withdrawn |         32 |
| cs.CL              | docx      |          4 |
| cs.CL              | html      |         24 |
| cs.CL              | pdf       |       2226 |
| cs.CL              | pdftex    |      15825 |
| cs.CL              | ps        |        345 |
| cs.CL              | tex       |       4397 |
| cs.CL              | withdrawn |        104 |
| cs.CR              | docx      |          9 |
| cs.CR              | html      |         16 |
| cs.CR              | pdf       |       3478 |
| cs.CR              | pdftex    |       9016 |
| cs.CR              | ps        |          7 |
| cs.CR              | tex       |       5387 |
| cs.CR              | withdrawn |        192 |
| cs.CV              | NULL      |          1 |
| cs.CV              | docx      |          4 |
| cs.CV              | html      |         22 |
| cs.CV              | pdf       |       5240 |
| cs.CV              | pdftex    |      41817 |
| cs.CV              | ps        |          6 |
| cs.CV              | tex       |       3555 |
| cs.CV              | withdrawn |        368 |
| cs.CY              | docx      |          8 |
| cs.CY              | html      |         43 |
| cs.CY              | pdf       |       3768 |
| cs.CY              | pdftex    |       3757 |
| cs.CY              | ps        |          3 |
| cs.CY              | tex       |        934 |
| cs.CY              | withdrawn |         41 |
| cs.DB              | docx      |         12 |
| cs.DB              | html      |         11 |
| cs.DB              | pdf       |       1199 |
| cs.DB              | pdftex    |       3440 |
| cs.DB              | ps        |          7 |
| cs.DB              | tex       |       1876 |
| cs.DB              | withdrawn |         37 |
| cs.DC              | NULL      |          1 |
| cs.DC              | docx      |         24 |
| cs.DC              | html      |         58 |
| cs.DC              | pdf       |       2287 |
| cs.DC              | pdftex    |       8197 |
| cs.DC              | ps        |         13 |
| cs.DC              | tex       |       4318 |
| cs.DC              | withdrawn |         98 |
| cs.DL              | NULL      |          1 |
| cs.DL              | docx      |         24 |
| cs.DL              | html      |         14 |
| cs.DL              | pdf       |       2180 |
| cs.DL              | pdftex    |       1112 |
| cs.DL              | ps        |          3 |
| cs.DL              | tex       |        638 |
| cs.DL              | withdrawn |         13 |
| cs.DM              | docx      |          2 |
| cs.DM              | html      |         10 |
| cs.DM              | pdf       |        485 |
| cs.DM              | pdftex    |       4922 |
| cs.DM              | ps        |          7 |
| cs.DM              | tex       |       8883 |
| cs.DM              | withdrawn |        129 |
| cs.DS              | docx      |          2 |
| cs.DS              | html      |         17 |
| cs.DS              | pdf       |        905 |
| cs.DS              | pdftex    |      10240 |
| cs.DS              | ps        |          8 |
| cs.DS              | tex       |      12258 |
| cs.DS              | withdrawn |        168 |
| cs.ET              | docx      |          3 |
| cs.ET              | html      |          7 |
| cs.ET              | pdf       |        634 |
| cs.ET              | pdftex    |       1371 |
| cs.ET              | tex       |        406 |
| cs.ET              | withdrawn |         29 |
| cs.FL              | html      |         45 |
| cs.FL              | pdf       |         71 |
| cs.FL              | pdftex    |       1512 |
| cs.FL              | tex       |       3074 |
| cs.FL              | withdrawn |         23 |
| cs.GL              | pdf       |         88 |
| cs.GL              | pdftex    |         54 |
| cs.GL              | ps        |          3 |
| cs.GL              | tex       |        105 |
| cs.GL              | withdrawn |          2 |
| cs.GR              | docx      |          1 |
| cs.GR              | html      |          1 |
| cs.GR              | pdf       |        366 |
| cs.GR              | pdftex    |       1934 |
| cs.GR              | ps        |          2 |
| cs.GR              | tex       |        262 |
| cs.GR              | withdrawn |         23 |
| cs.GT              | docx      |          1 |
| cs.GT              | html      |         17 |
| cs.GT              | pdf       |        418 |
| cs.GT              | pdftex    |       3822 |
| cs.GT              | ps        |          7 |
| cs.GT              | tex       |       5347 |
| cs.GT              | withdrawn |         69 |
| cs.HC              | docx      |          2 |
| cs.HC              | html      |         30 |
| cs.HC              | pdf       |       2125 |
| cs.HC              | pdftex    |       3417 |
| cs.HC              | ps        |          8 |
| cs.HC              | tex       |        495 |
| cs.HC              | withdrawn |         37 |
| cs.IR              | docx      |          9 |
| cs.IR              | html      |         20 |
| cs.IR              | pdf       |       1892 |
| cs.IR              | pdftex    |       4985 |
| cs.IR              | ps        |          5 |
| cs.IR              | tex       |       1692 |
| cs.IR              | withdrawn |         72 |
| cs.IT              | NULL      |          2 |
| cs.IT              | docx      |         12 |
| cs.IT              | html      |          6 |
| cs.IT              | pdf       |       1967 |
| cs.IT              | pdftex    |      17337 |
| cs.IT              | ps        |         10 |
| cs.IT              | tex       |      28126 |
| cs.IT              | withdrawn |        453 |
| cs.LG              | NULL      |          4 |
| cs.LG              | docx      |          5 |
| cs.LG              | html      |         22 |
| cs.LG              | pdf       |       4263 |
| cs.LG              | pdftex    |      52009 |
| cs.LG              | ps        |         23 |
| cs.LG              | tex       |      12715 |
| cs.LG              | withdrawn |        371 |
| cs.LO              | docx      |          2 |
| cs.LO              | html      |        258 |
| cs.LO              | pdf       |        506 |
| cs.LO              | pdftex    |       5022 |
| cs.LO              | ps        |         17 |
| cs.LO              | tex       |      10486 |
| cs.LO              | withdrawn |         68 |
| cs.MA              | docx      |          5 |
| cs.MA              | html      |         13 |
| cs.MA              | pdf       |        537 |
| cs.MA              | pdftex    |       2239 |
| cs.MA              | ps        |         15 |
| cs.MA              | tex       |       1237 |
| cs.MA              | withdrawn |         18 |
| cs.MM              | docx      |          4 |
| cs.MM              | html      |          3 |
| cs.MM              | pdf       |        837 |
| cs.MM              | pdftex    |       1789 |
| cs.MM              | tex       |        488 |
| cs.MM              | withdrawn |         37 |
| cs.MS              | docx      |          1 |
| cs.MS              | html      |          8 |
| cs.MS              | pdf       |        142 |
| cs.MS              | pdftex    |       1137 |
| cs.MS              | ps        |          1 |
| cs.MS              | tex       |        772 |
| cs.MS              | withdrawn |          3 |
| cs.NA              | docx      |          6 |
| cs.NA              | html      |          2 |
| cs.NA              | pdf       |        349 |
| cs.NA              | pdftex    |       4096 |
| cs.NA              | ps        |          6 |
| cs.NA              | tex       |       2716 |
| cs.NA              | withdrawn |         40 |
| cs.NE              | docx      |         11 |
| cs.NE              | html      |         14 |
| cs.NE              | pdf       |       1814 |
| cs.NE              | pdftex    |       7254 |
| cs.NE              | ps        |          9 |
| cs.NE              | tex       |       1965 |
| cs.NE              | withdrawn |         94 |
| cs.NI              | docx      |         18 |
| cs.NI              | html      |         22 |
| cs.NI              | pdf       |       3810 |
| cs.NI              | pdftex    |       7168 |
| cs.NI              | ps        |         18 |
| cs.NI              | tex       |       5981 |
| cs.NI              | withdrawn |        216 |
| cs.OH              | docx      |          7 |
| cs.OH              | html      |          3 |
| cs.OH              | pdf       |       1338 |
| cs.OH              | pdftex    |        526 |
| cs.OH              | ps        |          4 |
| cs.OH              | tex       |        506 |
| cs.OH              | withdrawn |         23 |
| cs.OS              | docx      |          1 |
| cs.OS              | html      |          9 |
| cs.OS              | pdf       |        141 |
