Data totals as of 2019-10-23: 

+-------------+---------+
| file format | total   |
+-------------+---------+
| Removed     |      21 |  (versions removed for legal reasons)
| docx        |     937 |  (for a brief period arXiv accepted docx)
| html        |    1580 |  (typically conference indexes, though some full text)
| ps          |    5746 |
| withdrawn   |   10189 |  (where the top-level version is withdrawn)
| pdf         |  164859 |
| pdftex      |  678193 |  (these should be counted together, as they...)
| tex         | 1629254 |  (...are both tex formats)
+-------------+---------+

File formats across subject areas 
(single-word categories contain a period in their name only for ease of providing data)
(NULL values in format column represent removed top-level versions)

+--------------------+-----------+------------+
| category           | format    | paper count|
| math.RT            | pdftex    |       2869 |
| math.RT            | ps        |         14 |
| math.RT            | tex       |      30456 |
| math.RT            | withdrawn |        177 |
| math.SG            | pdf       |         32 |
| math.SG            | pdftex    |       2225 |
| math.SG            | ps        |          7 |
| math.SG            | tex       |      10570 |
| math.SG            | withdrawn |         74 |
| math.SP            | pdf       |         43 |
| math.SP            | pdftex    |       1928 |
| math.SP            | tex       |       9086 |
| math.SP            | withdrawn |         65 |
| math.ST            | NULL      |          1 |
| math.ST            | docx      |          1 |
| math.ST            | pdf       |        436 |
| math.ST            | pdftex    |       8725 |
| math.ST            | tex       |      14821 |
| math.ST            | withdrawn |        103 |
| math-ph.           | docx      |         12 |
| math-ph.           | html      |         14 |
| math-ph.           | pdf       |       1458 |
| math-ph.           | pdftex    |      19081 |
| math-ph.           | ps        |         34 |
| math-ph.           | tex       |      82291 |
| math-ph.           | withdrawn |        395 |
| mtrl-th.           | ps        |          7 |
| mtrl-th.           | tex       |        294 |
| nlin.AO            | docx      |          5 |
| nlin.AO            | html      |         23 |
| nlin.AO            | pdf       |        958 |
| nlin.AO            | pdftex    |       2549 |
| nlin.AO            | ps        |         79 |
| nlin.AO            | tex       |       3990 |
| nlin.AO            | withdrawn |         33 |
| nlin.CD            | docx      |          9 |
| nlin.CD            | html      |         22 |
| nlin.CD            | pdf       |        805 |
| nlin.CD            | pdftex    |       4021 |
| nlin.CD            | ps        |        155 |
| nlin.CD            | tex       |      13398 |
| nlin.CD            | withdrawn |         76 |
| nlin.CG            | docx      |          1 |
| nlin.CG            | html      |          1 |
| nlin.CG            | pdf       |        131 |
| nlin.CG            | pdftex    |        572 |
| nlin.CG            | ps        |         48 |
| nlin.CG            | tex       |        944 |
| nlin.CG            | withdrawn |          3 |
| nlin.PS            | docx      |          1 |
| nlin.PS            | html      |          4 |
| nlin.PS            | pdf       |        638 |
| nlin.PS            | pdftex    |       2708 |
| nlin.PS            | ps        |         31 |
| nlin.PS            | tex       |       6625 |
| nlin.PS            | withdrawn |         19 |
| nlin.SI            | docx      |          1 |
| nlin.SI            | pdf       |        151 |
| nlin.SI            | pdftex    |       1939 |
| nlin.SI            | ps        |         16 |
| nlin.SI            | tex       |      13204 |
| nlin.SI            | withdrawn |         28 |
| nucl-ex.           | NULL      |          1 |
| nucl-ex.           | docx      |         19 |
| nucl-ex.           | html      |          3 |
| nucl-ex.           | pdf       |       1319 |
| nucl-ex.           | pdftex    |       8796 |
| nucl-ex.           | ps        |         39 |
| nucl-ex.           | tex       |      19198 |
| nucl-ex.           | withdrawn |         51 |
| nucl-th.           | docx      |          9 |
| nucl-th.           | html      |         30 |
| nucl-th.           | pdf       |       1030 |
| nucl-th.           | pdftex    |      13338 |
| nucl-th.           | ps        |        108 |
| nucl-th.           | tex       |      54560 |
| nucl-th.           | withdrawn |         98 |
| patt-sol.          | html      |          4 |
| patt-sol.          | pdf       |          7 |
| patt-sol.          | ps        |         25 |
| patt-sol.          | tex       |        759 |
| physics.acc-ph     | docx      |          8 |
| physics.acc-ph     | html      |         33 |
| physics.acc-ph     | pdf       |       2560 |
| physics.acc-ph     | pdftex    |       1943 |
| physics.acc-ph     | ps        |        128 |
| physics.acc-ph     | tex       |       2347 |
| physics.acc-ph     | withdrawn |         19 |
| physics.ao-ph      | NULL      |          1 |
| physics.ao-ph      | docx      |          3 |
| physics.ao-ph      | html      |         23 |
| physics.ao-ph      | pdf       |       1277 |
| physics.ao-ph      | pdftex    |       1854 |
| physics.ao-ph      | ps        |          5 |
| physics.ao-ph      | tex       |       2155 |
| physics.ao-ph      | withdrawn |         24 |
| physics.app-ph     | pdf       |       3514 |
| physics.app-ph     | pdftex    |       2448 |
| physics.app-ph     | tex       |        702 |
| physics.app-ph     | withdrawn |         27 |
| physics.atm-clus   | docx      |          7 |
| physics.atm-clus   | html      |          3 |
| physics.atm-clus   | pdf       |        507 |
| physics.atm-clus   | pdftex    |        763 |
| physics.atm-clus   | ps        |          1 |
| physics.atm-clus   | tex       |       1559 |
| physics.atm-clus   | withdrawn |          4 |
| physics.atom-ph    | NULL      |          1 |
| physics.atom-ph    | docx      |          9 |
| physics.atom-ph    | html      |          1 |
| physics.atom-ph    | pdf       |       1594 |
| physics.atom-ph    | pdftex    |       8137 |
| physics.atom-ph    | ps        |         19 |
| physics.atom-ph    | tex       |      12993 |
| physics.atom-ph    | withdrawn |         74 |
| physics.bio-ph     | NULL      |          1 |
| physics.bio-ph     | docx      |         23 |
| physics.bio-ph     | html      |         16 |
| physics.bio-ph     | pdf       |       2925 |
| physics.bio-ph     | pdftex    |       5592 |
| physics.bio-ph     | ps        |         31 |
| physics.bio-ph     | tex       |       6215 |
| physics.bio-ph     | withdrawn |         73 |
| physics.chem-ph    | docx      |         24 |
| physics.chem-ph    | html      |          7 |
| physics.chem-ph    | pdf       |       3928 |
| physics.chem-ph    | pdftex    |       6572 |
| physics.chem-ph    | ps        |         18 |
| physics.chem-ph    | tex       |       7746 |
| physics.chem-ph    | withdrawn |         72 |
| physics.class-ph   | docx      |         16 |
| physics.class-ph   | html      |         22 |
| physics.class-ph   | pdf       |       1833 |
| physics.class-ph   | pdftex    |       2026 |
| physics.class-ph   | ps        |         15 |
| physics.class-ph   | tex       |       5898 |
| physics.class-ph   | withdrawn |         48 |
| physics.comp-ph    | docx      |         11 |
| physics.comp-ph    | html      |          6 |
| physics.comp-ph    | pdf       |       2228 |
| physics.comp-ph    | pdftex    |       8666 |
| physics.comp-ph    | ps        |         24 |
| physics.comp-ph    | tex       |       7693 |
| physics.comp-ph    | withdrawn |         72 |
| physics.data-an    | docx      |         16 |
| physics.data-an    | html      |          5 |
| physics.data-an    | pdf       |       1198 |
| physics.data-an    | pdftex    |       4506 |
| physics.data-an    | ps        |         34 |
| physics.data-an    | tex       |       5410 |
| physics.data-an    | withdrawn |         49 |
| physics.ed-ph      | docx      |         14 |
| physics.ed-ph      | html      |         17 |
| physics.ed-ph      | pdf       |       1265 |
| physics.ed-ph      | pdftex    |        818 |
| physics.ed-ph      | ps        |          5 |
| physics.ed-ph      | tex       |       1306 |
| physics.ed-ph      | withdrawn |          4 |
| physics.flu-dyn    | NULL      |          1 |
| physics.flu-dyn    | docx      |         14 |
| physics.flu-dyn    | html      |          6 |
| physics.flu-dyn    | pdf       |       2220 |
| physics.flu-dyn    | pdftex    |       9907 |
| physics.flu-dyn    | ps        |         11 |
| physics.flu-dyn    | tex       |      10662 |
| physics.flu-dyn    | withdrawn |        100 |
| physics.gen-ph     | NULL      |          1 |
| physics.gen-ph     | docx      |         53 |
| physics.gen-ph     | html      |        166 |
| physics.gen-ph     | pdf       |       5226 |
| physics.gen-ph     | pdftex    |       1256 |
| physics.gen-ph     | ps        |         93 |
| physics.gen-ph     | tex       |       9564 |
| physics.gen-ph     | withdrawn |        125 |
| physics.geo-ph     | docx      |          8 |
| physics.geo-ph     | html      |         18 |
| physics.geo-ph     | pdf       |       1858 |
| physics.geo-ph     | pdftex    |       1926 |
| physics.geo-ph     | ps        |         12 |
| physics.geo-ph     | tex       |       2160 |
| physics.geo-ph     | withdrawn |         31 |
| physics.hist-ph    | NULL      |          1 |
| physics.hist-ph    | docx      |          6 |
| physics.hist-ph    | html      |         19 |
| physics.hist-ph    | pdf       |       1586 |
| physics.hist-ph    | pdftex    |        941 |
| physics.hist-ph    | ps        |         14 |
| physics.hist-ph    | tex       |       2340 |
| physics.hist-ph    | withdrawn |         23 |
| physics.ins-det    | docx      |         25 |
| physics.ins-det    | html      |         15 |
| physics.ins-det    | pdf       |       4416 |
| physics.ins-det    | pdftex    |       9467 |
| physics.ins-det    | ps        |         31 |
| physics.ins-det    | tex       |       4948 |
| physics.ins-det    | withdrawn |         77 |
| physics.med-ph     | docx      |         15 |
| physics.med-ph     | html      |          6 |
| physics.med-ph     | pdf       |       1899 |
| physics.med-ph     | pdftex    |       1452 |
| physics.med-ph     | ps        |          7 |
| physics.med-ph     | tex       |        920 |
| physics.med-ph     | withdrawn |         31 |
| physics.optics     | NULL      |          3 |
| physics.optics     | docx      |         56 |
| physics.optics     | html      |         13 |
| physics.optics     | pdf       |      11177 |
| physics.optics     | pdftex    |      12921 |
| physics.optics     | ps        |         28 |
| physics.optics     | tex       |      13863 |
| physics.optics     | withdrawn |        161 |
| physics.plasm-ph   | docx      |         16 |
| physics.plasm-ph   | html      |         11 |
| physics.plasm-ph   | pdf       |       2007 |
| physics.plasm-ph   | pdftex    |       4757 |
| physics.plasm-ph   | ps        |         22 |
| physics.plasm-ph   | tex       |       7765 |
| physics.plasm-ph   | withdrawn |         58 |
| physics.pop-ph     | docx      |         10 |
| physics.pop-ph     | html      |          5 |
| physics.pop-ph     | pdf       |        874 |
| physics.pop-ph     | pdftex    |        585 |
| physics.pop-ph     | ps        |         10 |
| physics.pop-ph     | tex       |       1049 |
| physics.pop-ph     | withdrawn |         13 |
| physics.soc-ph     | docx      |         29 |
| physics.soc-ph     | html      |         12 |
| physics.soc-ph     | pdf       |       3185 |
| physics.soc-ph     | pdftex    |       9888 |
| physics.soc-ph     | ps        |          6 |
| physics.soc-ph     | tex       |       9398 |
| physics.soc-ph     | withdrawn |         85 |
| physics.space-ph   | docx      |          4 |
| physics.space-ph   | html      |          1 |
| physics.space-ph   | pdf       |        923 |
| physics.space-ph   | pdftex    |       1570 |
| physics.space-ph   | ps        |          5 |
| physics.space-ph   | tex       |       2924 |
| physics.space-ph   | withdrawn |         19 |
| plasm-ph.          | pdf       |          1 |
| plasm-ph.          | ps        |         11 |
| plasm-ph.          | tex       |         31 |
| q-alg.             | html      |          1 |
| q-alg.             | ps        |         20 |
| q-alg.             | tex       |       2286 |
| q-alg.             | withdrawn |          1 |
| q-bio.             | html      |         12 |
| q-bio.             | pdf       |         78 |
| q-bio.             | ps        |         51 |
| q-bio.             | tex       |       1576 |
| q-bio.             | withdrawn |          2 |
| q-bio.BM           | docx      |         15 |
| q-bio.BM           | html      |          2 |
| q-bio.BM           | pdf       |       1405 |
| q-bio.BM           | pdftex    |       1554 |
| q-bio.BM           | ps        |          7 |
| q-bio.BM           | tex       |       2103 |
| q-bio.BM           | withdrawn |         24 |
| q-bio.CB           | docx      |          2 |
| q-bio.CB           | html      |          5 |
| q-bio.CB           | pdf       |        542 |
| q-bio.CB           | pdftex    |        942 |
| q-bio.CB           | ps        |          1 |
| q-bio.CB           | tex       |        683 |
| q-bio.CB           | withdrawn |         17 |
| q-bio.GN           | docx      |          7 |
| q-bio.GN           | pdf       |       1167 |
| q-bio.GN           | pdftex    |       1084 |
| q-bio.GN           | ps        |          4 |
| q-bio.GN           | tex       |        781 |
| q-bio.GN           | withdrawn |         21 |
| q-bio.MN           | docx      |          2 |
| q-bio.MN           | html      |          3 |
| q-bio.MN           | pdf       |        878 |
| q-bio.MN           | pdftex    |       1728 |
| q-bio.MN           | ps        |          1 |
| q-bio.MN           | tex       |       1602 |
| q-bio.MN           | withdrawn |         19 |
| q-bio.NC           | docx      |         18 |
| q-bio.NC           | html      |          9 |
| q-bio.NC           | pdf       |       2194 |
| q-bio.NC           | pdftex    |       3933 |
| q-bio.NC           | ps        |          8 |
| q-bio.NC           | tex       |       2209 |
| q-bio.NC           | withdrawn |         39 |
| q-bio.OT           | docx      |          3 |
| q-bio.OT           | html      |          4 |
| q-bio.OT           | pdf       |        619 |
| q-bio.OT           | pdftex    |        168 |
| q-bio.OT           | ps        |          4 |
| q-bio.OT           | tex       |        393 |
| q-bio.OT           | withdrawn |          9 |
| q-bio.PE           | docx      |          7 |
| q-bio.PE           | html      |          8 |
| q-bio.PE           | pdf       |       1979 |
| q-bio.PE           | pdftex    |       4446 |
| q-bio.PE           | ps        |          7 |
| q-bio.PE           | tex       |       4446 |
| q-bio.PE           | withdrawn |         32 |
| q-bio.QM           | docx      |         14 |
| q-bio.QM           | html      |          2 |
| q-bio.QM           | pdf       |       2013 |
| q-bio.QM           | pdftex    |       3674 |
| q-bio.QM           | ps        |          5 |
| q-bio.QM           | tex       |       2628 |
| q-bio.QM           | withdrawn |         38 |
| q-bio.SC           | docx      |          1 |
| q-bio.SC           | html      |          1 |
| q-bio.SC           | pdf       |        445 |
| q-bio.SC           | pdftex    |        725 |
| q-bio.SC           | tex       |        788 |
| q-bio.SC           | withdrawn |         12 |
| q-bio.TO           | docx      |          2 |
| q-bio.TO           | pdf       |        706 |
| q-bio.TO           | pdftex    |        750 |
| q-bio.TO           | tex       |        417 |
| q-bio.TO           | withdrawn |         11 |
| q-fin.CP           | docx      |          1 |
| q-fin.CP           | pdf       |        121 |
| q-fin.CP           | pdftex    |        840 |
| q-fin.CP           | tex       |       1205 |
| q-fin.CP           | withdrawn |         16 |
| q-fin.EC           | html      |          1 |
| q-fin.EC           | pdf       |        428 |
| q-fin.EC           | pdftex    |        751 |
| q-fin.EC           | tex       |        454 |
| q-fin.EC           | withdrawn |          6 |
| q-fin.GN           | docx      |          6 |
| q-fin.GN           | html      |          2 |
| q-fin.GN           | pdf       |        690 |
| q-fin.GN           | pdftex    |        827 |
| q-fin.GN           | ps        |          3 |
| q-fin.GN           | tex       |       1369 |
| q-fin.GN           | withdrawn |         10 |
| q-fin.MF           | pdf       |         47 |
| q-fin.MF           | pdftex    |        876 |
| q-fin.MF           | tex       |       1271 |
| q-fin.MF           | withdrawn |          9 |
| q-fin.PM           | docx      |          3 |
| q-fin.PM           | pdf       |        123 |
| q-fin.PM           | pdftex    |        655 |
| q-fin.PM           | tex       |       1160 |
| q-fin.PM           | withdrawn |         14 |
| q-fin.PR           | pdf       |        143 |
| q-fin.PR           | pdftex    |        748 |
| q-fin.PR           | ps        |          1 |
| q-fin.PR           | tex       |       1648 |
| q-fin.PR           | withdrawn |         18 |
| q-fin.RM           | docx      |          3 |
| q-fin.RM           | pdf       |        237 |
| q-fin.RM           | pdftex    |        824 |
| q-fin.RM           | tex       |       1203 |
| q-fin.RM           | withdrawn |         14 |
| q-fin.ST           | docx      |          5 |
| q-fin.ST           | pdf       |        362 |
| q-fin.ST           | pdftex    |       1120 |
| q-fin.ST           | ps        |          3 |
| q-fin.ST           | tex       |       1978 |
| q-fin.ST           | withdrawn |         15 |
| q-fin.TR           | docx      |          2 |
| q-fin.TR           | pdf       |         88 |
| q-fin.TR           | pdftex    |        799 |
| q-fin.TR           | ps        |          4 |
| q-fin.TR           | tex       |        871 |
| q-fin.TR           | withdrawn |          9 |
| quant-ph.          | docx      |         49 |
| quant-ph.          | html      |         43 |
| quant-ph.          | pdf       |       7698 |
| quant-ph.          | pdftex    |      52978 |
| quant-ph.          | ps        |        241 |
| quant-ph.          | tex       |     104236 |
| quant-ph.          | withdrawn |        576 |
| solv-int.          | pdf       |          1 |
| solv-int.          | ps        |          9 |
| solv-int.          | tex       |       1886 |
| stat.AP            | docx      |          5 |
| stat.AP            | html      |          2 |
| stat.AP            | pdf       |       1723 |
| stat.AP            | pdftex    |       8001 |
| stat.AP            | ps        |          1 |
| stat.AP            | tex       |       3928 |
| stat.AP            | withdrawn |         81 |
| stat.CO            | pdf       |        202 |
| stat.CO            | pdftex    |       5131 |
| stat.CO            | ps        |          1 |
| stat.CO            | tex       |       2419 |
| stat.CO            | withdrawn |         42 |
| stat.ME            | docx      |          4 |
| stat.ME            | pdf       |        828 |
| stat.ME            | pdftex    |      12819 |
| stat.ME            | ps        |          2 |
| stat.ME            | tex       |       7034 |
| stat.ME            | withdrawn |        110 |
| stat.ML            | NULL      |          3 |
| stat.ML            | docx      |          8 |
| stat.ML            | html      |         23 |
| stat.ML            | pdf       |       2472 |
| stat.ML            | pdftex    |      39843 |
| stat.ML            | ps        |          3 |
| stat.ML            | tex       |      10176 |
| stat.ML            | withdrawn |        240 |
| stat.OT            | pdf       |        204 |
| stat.OT            | pdftex    |        490 |
| stat.OT            | tex       |        368 |
| stat.OT            | withdrawn |         14 |
| stat.TH            | NULL      |          1 |
| stat.TH            | docx      |          1 |
| stat.TH            | pdf       |        436 |
| stat.TH            | pdftex    |       8725 |
| stat.TH            | tex       |      14821 |
| stat.TH            | withdrawn |        103 |
| supr-con.          | ps        |         19 |
| supr-con.          | tex       |        204 |
+--------------------+-----------+------------+
